user_id,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,is_active,monthly_spend,primary_device,household_size,created_at
user_00001,figueroajohn@example.org,Erica,Garza,43.0,Male,USA,Massachusetts,North Jefferyhaven,Basic,2024-04-08,True,36.06,Laptop,1.0,2023-04-01 14:40:50.540242
user_00002,blakeerik@example.com,Joshua,Bernard,38.0,Male,USA,Texas,North Noahstad,Premium+,2024-05-24,True,14.59,Desktop,2.0,2024-10-10 15:39:11.030515
user_00003,smiller@example.net,Barbara,Williams,32.0,Female,USA,Michigan,Traciebury,Standard,2023-09-22,False,11.71,Desktop,3.0,2024-06-29 14:27:49.560875
user_00004,mitchellclark@example.com,Chelsea,Ferguson,11.0,Male,USA,Ohio,South Noah,Standard,2024-08-21,True,28.56,Laptop,2.0,2023-04-11 01:01:59.614841
user_00005,richard13@example.net,Jason,Foster,21.0,Female,USA,Arizona,West Donald,Standard,2024-10-28,True,9.54,Desktop,6.0,2025-04-12 19:59:30.137806
user_00006,jeffrey28@example.com,Katelyn,Hernandez,43.0,Female,Canada,Quebec,Carlsonfurt,Standard,2024-05-16,True,,Gaming Console,2.0,2024-03-04 19:57:36.106319
user_00007,maldonadoamanda@example.com,Daniel,Moore,63.0,,USA,Maryland,Teresaburgh,Premium,2025-03-13,True,27.74,Desktop,1.0,2025-02-10 07:18:23.258712
user_00008,nathanielmartin@example.net,Carol,Smith,,Male,Canada,New Brunswick,Johnbury,Basic,2022-11-03,True,6.69,Tablet,1.0,2025-01-13 04:53:02.134116
user_00009,donnaarroyo@example.org,Allison,Brandt,24.0,Male,USA,North Carolina,Raymondstad,Premium,2025-04-13,True,12.21,Gaming Console,5.0,2022-12-13 15:46:23.391721
user_00010,morganbrianna@example.org,Adrian,Perez,24.0,Male,USA,Pennsylvania,Chadbury,Basic,2024-08-04,True,23.18,Laptop,1.0,2024-03-15 22:04:39.445799
user_00011,kristenaguirre@example.org,Collin,Gomez,67.0,Female,USA,Ohio,Shieldston,Basic,2022-10-07,True,556.13,Desktop,2.0,2024-12-27 07:05:50.526519
user_00012,jamesherrera@example.org,Isaiah,Wright,41.0,Female,USA,Missouri,Mortonside,Premium,2022-09-26,True,29.23,Tablet,2.0,2025-06-29 19:39:28.228369
user_00013,richardolson@example.com,Franklin,Galloway,32.0,Female,USA,Ohio,Mitchellside,Basic,2023-01-18,True,18.68,Gaming Console,3.0,2023-03-29 14:38:00.334657
user_00014,adkinsbrian@example.net,Wesley,Brown,22.0,Male,USA,Pennsylvania,North Brooke,Basic,2023-10-18,True,25.19,Laptop,2.0,2024-04-28 09:41:18.589372
